97542889;51.2977174,6.9325165 51.2978224,6.9324981 51.2978022,6.9322048 51.2976973,6.9322232 51.2977174,6.9325165
97542890;51.2977717,6.9316816 51.2978500,6.9320318 51.2976845,6.9321285 51.2976627,6.9317117 51.2977717,6.9316816
97542891;51.2975162,6.9323505 51.2971989,6.9323992 51.2972147,6.9326636 51.2975320,6.9326149 51.2975162,6.9323505
97542893;51.2974737,6.9317031 51.2975008,6.9321578 51.2971384,6.9322131 51.2971113,6.9317584 51.2974737,6.9317031
97542896;51.2978647,6.9321662 51.2978740,6.9323508 51.2979795,6.9323372 51.2979702,6.9321526 51.2978647,6.9321662
97542897;51.2976055,6.9330207 51.2976608,6.9334398 51.2973706,6.9335376 51.2973175,6.9331345 51.2976055,6.9330207
97542898;51.2977212,6.9326677 51.2978807,6.9326384 51.2979015,6.9329292 51.2977420,6.9329585 51.2977212,6.9326677
97543005;51.2969507,6.9311563 51.2973016,6.9310247 51.2973442,6.9313154 51.2969933,6.9314470 51.2969507,6.9311563
97543781;51.2969557,6.9293753 51.2969164,6.9290146 51.2968725,6.9285810 51.2966415,6.9286454 51.2967280,6.9294388 51.2969557,6.9293753
154087990;51.2996673,6.9302415 51.2997055,6.9306058 51.2998326,6.9305717 51.2997944,6.9302074 51.2996673,6.9302415
154087992;51.2992520,6.9301485 51.2993089,6.9304412 51.2991364,6.9305271 51.2990794,6.9302343 51.2992520,6.9301485
154087994;51.3002812,6.9281736 51.3003493,6.9283990 51.3001547,6.9285496 51.3000865,6.9283243 51.3002812,6.9281736
154087997;51.3002454,6.9277628 51.3002909,6.9278974 51.3001444,6.9280240 51.3000989,6.9278895 51.3002454,6.9277628
154087998;51.3001483,6.9286610 51.3002577,6.9290303 51.3005350,6.9288202 51.3004256,6.9284509 51.3001483,6.9286610
154088001;51.3002764,6.9292326 51.3003248,6.9294931 51.3006442,6.9293412 51.3005957,6.9290806 51.3002764,6.9292326
154088002;51.2987624,6.9300449 51.2988413,6.9304386 51.2985748,6.9305753 51.2984959,6.9301815 51.2987624,6.9300449
154088003;51.2985365,6.9287765 51.2982740,6.9289141 51.2985072,6.9300578 51.2987703,6.9299206 51.2985365,6.9287765
