279945065|Kompostierungswerk Ratingen|51.3513337,6.8478514 51.3512307,6.8480334 51.3510353,6.8477490 51.3508719,6.8479879 51.3503284,6.8473736 51.3497570,6.8487620 51.3493516,6.8500204 51.3490281,6.8508945 51.3495326,6.8522198 51.3500004,6.8527197 51.3503810,6.8528755 51.3516827,6.8495977 51.3520229,6.8490152 51.3514678,6.8480779 51.3513337,6.8478514
286122605||51.3397500,6.8690105 51.3401246,6.8688549 51.3402308,6.8688598 51.3404171,6.8687685 51.3405555,6.8686373 51.3412219,6.8682708 51.3415018,6.8694627 51.3407597,6.8705214 51.3404397,6.8709267 51.3401816,6.8712535 51.3401153,6.8709200 51.3400703,6.8706940 51.3399297,6.8699246 51.3399204,6.8698771 51.3398585,6.8695626 51.3397553,6.8690377 51.3397500,6.8690105
286122613||51.3464091,6.8575918 51.3464720,6.8577748 51.3465690,6.8579813 51.3465336,6.8584579 51.3463656,6.8583730 51.3462094,6.8593828 51.3462448,6.8596471 51.3463686,6.8598831 51.3464482,6.8603550 51.3463699,6.8604493 51.3451980,6.8597850 51.3451295,6.8597468 51.3451578,6.8595242 51.3444474,6.8592042 51.3444604,6.8591625 51.3442193,6.8589399 51.3446734,6.8576663 51.3451137,6.8579960 51.3448388,6.8587898 51.3449510,6.8588858 51.3452047,6.8588932 51.3452462,6.8586249 51.3451970,6.8585756 51.3452947,6.8580683 51.3453055,6.8580093 51.3454993,6.8569592 51.3458902,6.8571216 51.3461180,6.8572162 51.3461184,6.8572168 51.3462864,6.8574516 51.3464091,6.8575918
286333863||51.3473160,6.8403285 51.3470334,6.8405967 51.3462610,6.8413090 51.3458212,6.8417111 51.3462868,6.8429871 51.3478452,6.8427179 51.3477749,6.8424802 51.3480084,6.8422697 51.3474887,6.8408356 51.3473160,6.8403285
286337644||51.3452992,6.8343372 51.3453013,6.8342328 51.3453427,6.8341596 51.3455797,6.8339716 51.3455950,6.8340064 51.3467651,6.8330767 51.3468217,6.8329757 51.3469522,6.8328817 51.3465880,6.8318269 51.3475746,6.8309555 51.3478396,6.8307423 51.3476098,6.8299464 51.3475718,6.8298037 51.3476905,6.8297126 51.3474445,6.8288367 51.3477582,6.8285857 51.3480034,6.8294636 51.3484486,6.8291105 51.3485834,6.8295910 51.3486421,6.8297407 51.3487335,6.8298731 51.3489596,6.8301342 51.3490445,6.8302874 51.3490988,6.8304441 51.3491380,6.8306183 51.3491489,6.8308237 51.3489335,6.8338950 51.3488748,6.8342223 51.3487661,6.8345357 51.3486073,6.8348143 51.3484159,6.8350337 51.3479266,6.8354863 51.3475720,6.8357823 51.3472675,6.8359843 51.3470801,6.8360551 51.3469174,6.8361166 51.3467260,6.8362489 51.3463127,6.8366320 51.3462584,6.8366703 51.3462040,6.8366564 51.3461344,6.8365589 51.3452992,6.8343372
286337645||51.3420834,6.8375841 51.3421588,6.8376239 51.3423849,6.8381219 51.3424324,6.8382126 51.3425010,6.8381372 51.3430353,6.8374838 51.3430794,6.8374315 51.3431254,6.8373748 51.3424120,6.8360562 51.3424886,6.8357205 51.3426126,6.8352793 51.3427103,6.8350145 51.3427157,6.8350177 51.3430283,6.8352002 51.3431324,6.8351212 51.3431852,6.8352916 51.3432770,6.8355367 51.3433964,6.8357082 51.3435158,6.8358357 51.3436046,6.8358920 51.3437520,6.8358154 51.3442905,6.8354803 51.3442430,6.8353504 51.3444507,6.8351569 51.3445438,6.8350648 51.3448105,6.8358153 51.3454160,6.8350555 51.3473160,6.8403285 51.3470334,6.8405967 51.3462610,6.8413090 51.3461456,6.8409868 51.3462629,6.8408763 51.3455797,6.8389335 51.3455617,6.8388791 51.3444591,6.8397908 51.3442480,6.8399451 51.3440071,6.8400975 51.3438643,6.8402703 51.3441111,6.8411305 51.3443323,6.8414953 51.3440441,6.8424770 51.3422575,6.8413547 51.3425735,6.8400276 51.3421093,6.8397495 51.3421140,6.8394676 51.3421204,6.8391039 51.3417838,6.8389145 51.3419270,6.8383001 51.3419716,6.8381090 51.3420834,6.8375841
510832838||51.3183825,6.8851535 51.3186520,6.8846632 51.3184860,6.8844105 51.3182250,6.8849338 51.3183825,6.8851535
813966781||51.2948320,6.8384796 51.2955834,6.8385185 51.2956086,6.8387264 51.2958358,6.8387157 51.2958660,6.8386191 51.2967964,6.8387412 51.2967981,6.8388088 51.2967818,6.8391750 51.2963415,6.8391167 51.2963415,6.8389544 51.2948079,6.8388945 51.2948320,6.8384796
813966789||51.2991274,6.8409862 51.2986148,6.8412857 51.2988952,6.8421389 51.3003349,6.8416217 51.3001935,6.8406611 51.2999640,6.8402579 51.2997463,6.8400494 51.2991490,6.8400434 51.2989276,6.8401641 51.2991274,6.8409862
813966792||51.2952094,6.8292797 51.2924038,6.8287160 51.2923424,6.8298620 51.2908251,6.8295975 51.2911825,6.8331437 51.2906605,6.8332595 51.2902575,6.8340051 51.2900261,6.8341328 51.2899197,6.8347497 51.2898377,6.8350721 51.2897865,6.8351679 51.2897436,6.8352698 51.2899069,6.8354271 51.2900810,6.8356634 51.2901832,6.8358678 51.2902493,6.8364686 51.2908390,6.8368375 51.2933440,6.8377715 51.2941259,6.8379942 51.2949048,6.8380779 51.2946660,6.8335658 51.2948035,6.8323883 51.2951054,6.8309641 51.2952094,6.8292797
814078494|Tünkers Maschinenbau|51.3153097,6.8300146 51.3153568,6.8288450 51.3153788,6.8280849 51.3146740,6.8283951 51.3144044,6.8284606 51.3137007,6.8285436 51.3137022,6.8286453 51.3137093,6.8288269 51.3137160,6.8289953 51.3137207,6.8291129 51.3137394,6.8295798 51.3137478,6.8298349 51.3137555,6.8299590 51.3138170,6.8299579 51.3140286,6.8299436 51.3140680,6.8299409 51.3144386,6.8299339 51.3153097,6.8300146
