25319448;51.3500231,6.8496402 51.3494089,6.8513032 51.3497931,6.8516670 51.3499678,6.8511938 51.3504375,6.8516385 51.3507874,6.8506912 51.3509239,6.8508205 51.3510135,6.8505779 51.3500231,6.8496402
42653828;51.3449209,6.8378019 51.3452921,6.8389698 51.3452191,6.8390283 51.3443994,6.8396993 51.3441481,6.8399050 51.3441414,6.8398785 51.3439625,6.8393237 51.3437760,6.8387398 51.3449209,6.8378019
57357848;51.3061030,6.8254337 51.3056328,6.8265114 51.3050319,6.8258405 51.3053569,6.8250958 51.3054802,6.8252335 51.3055421,6.8250916 51.3055105,6.8250563 51.3055256,6.8250217 51.3054128,6.8248956 51.3053842,6.8249611 51.3053129,6.8248815 51.3054097,6.8246596 51.3061030,6.8254337
92246591;51.3043886,6.8341665 51.3044713,6.8334617 51.3046383,6.8335119 51.3046267,6.8336107 51.3046183,6.8336082 51.3045920,6.8338317 51.3045352,6.8338147 51.3045100,6.8340296 51.3047411,6.8340990 51.3047565,6.8339672 51.3048657,6.8340000 51.3048833,6.8338501 51.3050999,6.8339152 51.3050820,6.8340683 51.3050238,6.8340508 51.3049891,6.8343469 51.3043886,6.8341665
92246594;51.3052591,6.8312551 51.3051940,6.8317939 51.3054608,6.8318765 51.3052555,6.8335743 51.3044439,6.8333232 51.3044068,6.8333117 51.3043507,6.8333027 51.3044538,6.8324530 51.3044252,6.8324457 51.3045800,6.8311678 51.3046993,6.8311988 51.3048189,6.8312358 51.3048338,6.8311127 51.3049266,6.8311414 51.3049313,6.8311022 51.3050442,6.8311371 51.3050246,6.8312990 51.3051678,6.8313433 51.3051814,6.8312311 51.3052591,6.8312551
92713973;51.3065859,6.8330410 51.3067040,6.8330772 51.3067381,6.8330837 51.3067635,6.8330807 51.3067895,6.8330887 51.3068599,6.8331223 51.3069254,6.8331025 51.3070368,6.8331442 51.3070822,6.8331523 51.3071104,6.8331670 51.3071242,6.8330551 51.3071525,6.8328063 51.3071894,6.8325240 51.3072223,6.8322390 51.3073203,6.8314596 51.3071638,6.8314127 51.3070157,6.8313673 51.3069138,6.8313364 51.3068517,6.8313121 51.3067919,6.8317309 51.3067478,6.8317178 51.3067193,6.8319442 51.3067894,6.8319654 51.3067557,6.8322164 51.3067522,6.8322693 51.3067269,6.8322600 51.3067122,6.8323787 51.3067063,6.8324470 51.3066645,6.8327672 51.3066616,6.8328222 51.3066225,6.8328100 51.3066148,6.8328019 51.3065859,6.8330410
92714581;51.3057778,6.8366166 51.3058798,6.8365119 51.3059493,6.8365192 51.3060445,6.8364227 51.3061228,6.8364195 51.3065249,6.8359970 51.3067352,6.8356064 51.3065556,6.8351764 51.3065052,6.8352303 51.3064671,6.8351392 51.3061075,6.8355236 51.3060846,6.8354688 51.3059333,6.8356305 51.3059070,6.8355674 51.3057556,6.8357292 51.3057293,6.8356664 51.3055902,6.8358151 51.3055629,6.8357496 51.3054094,6.8359136 51.3053813,6.8358466 51.3051748,6.8360673 51.3052906,6.8363447 51.3053465,6.8362850 51.3055077,6.8366802 51.3056033,6.8367145 51.3056975,6.8366110 51.3057778,6.8366166
92715268;51.3084000,6.8349271 51.3089122,6.8346439 51.3086153,6.8332703 51.3085101,6.8333285 51.3084750,6.8331661 51.3081064,6.8333699 51.3081396,6.8335237 51.3081013,6.8335449 51.3084000,6.8349271
92715270;51.3093153,6.8335017 51.3088677,6.8337432 51.3090394,6.8345573 51.3094870,6.8343158 51.3093153,6.8335017
92715275;51.3079503,6.8345958 51.3077769,6.8346914 51.3079371,6.8354349 51.3081104,6.8353394 51.3079503,6.8345958
