42653828;51.3449209,6.8378019 51.3452921,6.8389698 51.3443994,6.8396993 51.3439625,6.8393237 51.3437760,6.8387398 51.3449209,6.8378019
135924640;51.3445102,6.8356932 51.3446363,6.8359465 51.3439038,6.8365654 51.3436208,6.8362313 51.3438940,6.8360116 51.3438561,6.8357627 51.3442791,6.8356281 51.3445102,6.8356932
135924751;51.3453630,6.8356784 51.3455121,6.8360832 51.3456475,6.8361590 51.3448066,6.8369532 51.3446018,6.8363973 51.3453630,6.8356784
135924752;51.3443243,6.8365665 51.3445356,6.8363803 51.3449110,6.8375309 51.3447016,6.8377079 51.3443243,6.8365665
135924778;51.3460829,6.8376173 51.3461910,6.8379330 51.3456748,6.8383858 51.3455668,6.8380701 51.3460829,6.8376173
165889323;51.3429631,6.8376610 51.3425372,6.8381819 51.3429219,6.8385000 51.3431548,6.8382152 51.3429631,6.8376610
165903985;51.3435949,6.8395364 51.3434611,6.8396984 51.3432225,6.8391930 51.3433563,6.8390310 51.3435949,6.8395364
165903988;51.3433021,6.8380457 51.3429750,6.8376859 51.3430606,6.8375417 51.3433021,6.8380457
198083707;51.3462964,6.8388670 51.3468512,6.8403886 51.3465161,6.8406997 51.3459593,6.8391708 51.3460957,6.8386400 51.3462964,6.8388670
255493112;51.3437969,6.8366846 51.3434169,6.8372064 51.3435454,6.8374463 51.3439254,6.8369244 51.3437969,6.8366846
255493113;51.3435689,6.8368222 51.3432804,6.8372197 51.3431429,6.8370724 51.3434483,6.8365980 51.3435689,6.8368222
899205724;51.3427131,6.8351643 51.3428368,6.8352332 51.3434033,6.8361513 51.3429691,6.8366227 51.3427802,6.8362725 51.3430141,6.8359490 51.3428453,6.8356361 51.3426158,6.8356124 51.3427131,6.8351643
1001081374;51.3453187,6.8369293 51.3454282,6.8365905 51.3460488,6.8374971 51.3453813,6.8381254 51.3450380,6.8371929 51.3453187,6.8369293
1222270925;51.3436571,6.8376977 51.3433987,6.8379075 51.3434906,6.8381023 51.3437164,6.8378188 51.3436571,6.8376977
1281932137;51.3460957,6.8386400 51.3461894,6.8385447 51.3463045,6.8388600 51.3462087,6.8389483 51.3460957,6.8386400
